Nalehani;LukrativniNabidka;ObsahujeHyperlink;ObsahujePrilohu;Vizual;Gramatika;ObsahujeFinance
0;0;1;0;0;0;0
0;0;0;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;1;1;0;0;0;1
0;0;1;0;0;0;0
0;0;0;0;0;0;1
0;0;0;0;0;0;1
0;0;1;0;0;0;1
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;1
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;0;0;0;0;0
0;0;1;0;0;0;1
0;0;1;0;0;0;1
0;0;1;0;0;0;1
0;0;1;0;1;0;0
0;0;1;0;1;0;0
0;1;1;0;0;0;1
0;0;1;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;1
0;0;0;1;0;0;0
0;0;1;0;0;0;1
0;0;1;0;0;0;1
0;0;1;1;0;1;0
0;0;1;0;0;0;0
0;0;1;0;0;1;0
0;0;1;0;0;0;0
0;0;0;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;0;0;0;0;0
0;0;0;1;0;0;0
0;0;1;1;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;1
0;0;0;0;0;0;0
0;0;0;0;0;0;1
0;0;1;0;0;0;1
0;0;0;0;0;0;0
0;0;1;0;0;0;1
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;1
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;1;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;1;0;0;0
0;0;1;1;0;0;0
0;0;1;1;0;0;0
0;0;1;1;0;0;0
0;0;1;1;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;0;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;1
0;0;1;0;0;0;0
0;0;1;0;0;0;1
0;0;1;0;0;0;0
0;0;1;0;0;0;1
1;0;1;0;0;0;1
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;1;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;0
0;0;0;0;0;0;1
0;0;1;0;0;0;0
0;0;0;0;0;0;0
0;0;1;0;0;0;0
0;0;1;0;0;0;1
0;0;1;0;0;0;1
0;0;1;0;0;0;0
0;1;1;0;0;0;0
0;0;0;1;0;0;0
0;0;0;0;0;0;0
0;0;1;0;1;0;0
0;0;1;0;0;0;0
0;1;1;0;1;0;0
0;1;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;1;0;0
0;0;0;0;0;0;0
1;0;1;0;0;0;0
1;0;1;0;0;0;0

